"ENSEMBL","baseMean","ful2_mbp20_sIM_vs_WT_sIM","lfcSE","stat","pvalue","padj","Symbol"
"Solyc07g008570.3",181.34030655008,1.64269882599056,0.223132538487314,7.3619869030619,1.81192753117438e-13,1.27524853434461e-10,"Solyc07g008570.3"
"Solyc06g050280.1",101.475976445021,1.54989670582552,0.213026587516871,7.2756021860547,3.44878515895855e-13,2.33738220828824e-10,"Solyc06g050280.1"
"Solyc11g071620.3",568.011869855755,0.985943519167894,0.135787294032304,7.26094091641103,3.84406841989733e-13,2.51223600056076e-10,"Solyc11g071620.3"
"Solyc01g109010.3",87.7183553681946,2.1530085066491,0.302448810742456,7.11858810541811,1.09038226613495e-12,6.88031209931151e-10,"Solyc01g109010.3"
"Solyc11g007350.1",92.1342923785749,1.4032206410186,0.197988418869823,7.08738747967482,1.36667338598489e-12,8.3362520967125e-10,"Solyc11g007350.1"
"Solyc11g006505.2",60.7917985569283,2.00656970308898,0.284984083636537,7.04098866674997,1.90880534160654e-12,1.12674932084058e-09,"Solyc11g006505.2"
"Solyc09g008380.3",1435.19477667006,-0.491819696834503,0.0707360139935527,-6.9528896112146,3.57878729756027e-12,2.04650714868923e-09,"Solyc09g008380.3"
"Solyc06g005570.4",2366.78666362174,0.41503067697885,0.0598076675002819,6.93942255776643,3.93705870673061e-12,2.11894815513128e-09,"Solyc06g005570.4"
"Solyc11g011570.1",49.1041960307289,1.94866618530365,0.280732894341823,6.94135323853762,3.88361559944992e-12,2.11894815513128e-09,"Solyc11g011570.1"
"Solyc03g078520.4",1633.17650719358,0.398186043077417,0.0575994741399779,6.91301524923209,4.74458921905051e-12,2.48060680341158e-09,"Solyc03g078520.4"
"Solyc12g040860.2",20.2333614984458,4.64872493464204,0.678001581537343,6.85651045842878,7.0562917158425e-12,3.58675228078339e-09,"Solyc12g040860.2"
"Solyc04g008400.1",123.167688898195,-1.72116742305982,0.253565524439509,-6.78786056134545,1.13808563822531e-11,5.62860245780675e-09,"Solyc04g008400.1"
"Solyc04g005070.3",1568.65867565868,0.556002620653534,0.0832109648837367,6.68184320937015,2.35955405880102e-11,1.12135395567164e-08,"Solyc04g005070.3"
"Solyc11g011920.2",207.442511515017,1.16761361035232,0.174793225011372,6.67997063545429,2.38990132090245e-11,1.12135395567164e-08,"Solyc11g011920.2"
"Solyc04g064770.1",2109.45611125592,2.826215994106,0.423497463433409,6.6735133929566,2.49750779203875e-11,1.14254737716293e-08,"Solyc04g064770.1"
"Solyc09g008670.3",342.393659334807,1.43534601567353,0.216578265373284,6.62737792824979,3.41702000096744e-11,1.52507436579764e-08,"Solyc09g008670.3"
"Solyc04g009860.4",207.904469816211,3.0308360296579,0.467114728593062,6.48841889183563,8.67418317258841e-11,3.77925899702846e-08,"Solyc04g009860.4"
"Solyc07g048000.3",45.6095242009776,-1.9817068697542,0.305802858784092,-6.48034121601643,9.15154182758917e-11,3.89451311402452e-08,"Solyc07g048000.3"
"Solyc01g093965.2",305.118257677456,1.40483346764466,0.217332195435756,6.46399151689395,1.01976591508978e-10,4.24106738186999e-08,"Solyc01g093965.2"
"Solyc10g078700.3",2756.65244203783,0.466741369727165,0.0723960388034054,6.44705673738064,1.14043103937963e-10,4.63749946435732e-08,"Solyc10g078700.3"
"Solyc09g161620.1",18.4171021694284,7.07659481649317,1.10665124520324,6.39460249754971,1.60965545170142e-10,6.40327937188789e-08,"Solyc09g161620.1"
"Solyc03g117870.3",5616.47409653365,0.34922184717702,0.0546850661371056,6.38605513069064,1.70219655701681e-10,6.62733931847884e-08,"Solyc03g117870.3"
"Solyc05g014275.2",417.496723994336,1.2708039236398,0.199717360408659,6.36301181349235,1.97835468130688e-10,7.5420650652572e-08,"Solyc05g014275.2"
"Solyc03g116930.3",209.950001401048,3.08779279821134,0.492209656162713,6.27332836637929,3.53410470678894e-10,1.31980779652104e-07,"Solyc03g116930.3"
"Solyc01g111220.3",52.5014941680917,2.02437674256561,0.32913379325718,6.15061954754612,7.71808571496019e-10,2.82466500996113e-07,"Solyc01g111220.3"
"Solyc05g056170.3",691.725488084722,0.855429309031687,0.139169666565727,6.14666493166947,7.91290382191529e-10,2.83918092229859e-07,"Solyc05g056170.3"
"Solyc06g072040.1",5897.56754716308,0.392100059999597,0.064647753244994,6.06517690589594,1.31808489131947e-09,4.63839142812595e-07,"Solyc06g072040.1"
"Solyc02g086180.4",2071.31679295978,0.660213416377153,0.109452136386286,6.03198291212044,1.61959907983022e-09,5.59189501166285e-07,"Solyc02g086180.4"
"Solyc06g071880.4",10416.551809889,-0.343193536122688,0.0571050551706063,-6.00986261369275,1.85680610267815e-09,6.29216571720508e-07,"Solyc06g071880.4"
"Solyc08g074280.4",1230.56377319665,-0.462085747594092,0.0770382244044301,-5.99813600542329,1.99595323877845e-09,6.64071787571034e-07,"Solyc08g074280.4"
"Solyc09g075680.1",67.2346502224274,1.48207535166142,0.247661831135003,5.98427034504774,2.17362033592941e-09,7.10269259413789e-07,"Solyc09g075680.1"
"Solyc01g108210.4",54.7678796733449,2.96655720159162,0.497822692863553,5.95906382757991,2.53687007411954e-09,8.1442430677743e-07,"Solyc01g108210.4"
"Solyc12g087950.1",27.4137182793977,2.31649471731034,0.390115661944817,5.93796902631922,2.88574542972549e-09,9.10452683078393e-07,"Solyc12g087950.1"
"Solyc06g009240.4",17.0634608769251,4.15935676578546,0.706350849350859,5.88851385909415,3.89683874021217e-09,1.20861444249394e-06,"Solyc06g009240.4"
"Solyc07g017520.4",232.724501603558,0.792806650263431,0.13470253796788,5.88561033981764,3.9658769261223e-09,1.20952636451853e-06,"Solyc07g017520.4"
"Solyc01g007980.4",80.6751269838728,1.64590241683456,0.2807211429539,5.86312238371319,4.54243163223636e-09,1.35355677852548e-06,"Solyc01g007980.4"
"Solyc01g096740.4",1287.49057490548,0.592210922239748,0.101033415076312,5.86153523359019,4.5860713846975e-09,1.35355677852548e-06,"Solyc01g096740.4"
"Solyc02g066990.3",45.7751589700611,2.18274950876261,0.374263660103492,5.83211714479314,5.47284727940821e-09,1.58964495818874e-06,"Solyc02g066990.3"
"Solyc02g093270.5",792.979384202402,1.1533374621886,0.198378649793568,5.81381848998752,6.10636247761891e-09,1.74594260903044e-06,"Solyc02g093270.5"
"Solyc05g005460.3",121.13353324771,1.42083339031331,0.245661964409741,5.78369302601314,7.30782451618368e-09,2.03311464738716e-06,"Solyc05g005460.3"
"Solyc09g091690.1",448.12584587832,0.623640118120252,0.107838078381835,5.78311601503185,7.3329453373164e-09,2.03311464738716e-06,"Solyc09g091690.1"
"Solyc06g053870.5",32.9707848399647,2.72466598297068,0.471681636778461,5.77649365699262,7.62733763813462e-09,2.08317390209292e-06,"Solyc06g053870.5"
"Solyc04g009260.3",19.2769801258385,3.99087741002494,0.69293641854077,5.75937027300309,8.44283168248439e-09,2.17599122475749e-06,"Solyc04g009260.3"
"Solyc09g092420.3",29.2102040331478,2.20527045789406,0.382571668343605,5.7643329090261,8.19814520616182e-09,2.17599122475749e-06,"Solyc09g092420.3"
"Solyc11g007610.2",1442.82673178335,-0.353302153182704,0.0613112568152393,-5.76243534278503,8.29088087408125e-09,2.17599122475749e-06,"Solyc11g007610.2"
"Solyc12g098500.2",775.716764321496,0.649674614133381,0.112764382523177,5.76134591079633,8.34458236302632e-09,2.17599122475749e-06,"Solyc12g098500.2"
"Solyc07g052380.3",56.5983015007607,1.45935857739124,0.256945503688996,5.67964240058323,1.34976636687918e-08,3.43046871493363e-06,"Solyc07g052380.3"
"Solyc02g084800.5",1591.1613790839,0.663133105613734,0.116884876344092,5.6733867233736,1.4000168881407e-08,3.50943959398448e-06,"Solyc02g084800.5"
"Solyc10g055800.2",69.6015974484284,1.99360780803896,0.354876872660771,5.61774508744803,1.93465639571021e-08,4.78409153852719e-06,"Solyc10g055800.2"
"Solyc10g045640.2",473.99818894983,-0.64703374341254,0.115867122908703,-5.58427384032284,2.34678684151987e-08,5.72584698839628e-06,"Solyc10g045640.2"
"Solyc01g111210.3",782.130236935267,-0.538834506257711,0.096690745211769,-5.57276195438945,2.50732068712544e-08,6.03703437548795e-06,"Solyc01g111210.3"
"Solyc12g009520.2",12.5963216292461,3.90778856372316,0.705639153844906,5.53794179706483,3.06046926627489e-08,7.27318533812521e-06,"Solyc12g009520.2"
"Solyc06g050270.1",41.2573033129087,1.63302219318464,0.296513031268707,5.507421330514,3.64128044380037e-08,8.5425372873209e-06,"Solyc06g050270.1"
"Solyc05g011960.4",104.395068384449,1.19611159401327,0.221025584426864,5.41164316843625,6.24490362437196e-08,1.44652520787826e-05,"Solyc05g011960.4"
"Solyc02g089830.2",87.8691494731352,-1.13492296201647,0.210378040784177,-5.3946835790755,6.86444126092206e-08,1.57015513292016e-05,"Solyc02g089830.2"
"Solyc12g008400.2",265.97330189206,1.02291533771191,0.190127863226314,5.38014429002609,7.44261611362257e-08,1.68138805263184e-05,"Solyc12g008400.2"
"Solyc03g025390.3",859.098019067462,0.383624158723682,0.0718389800373584,5.34005575419063,9.29180010567988e-08,2.07354451382727e-05,"Solyc03g025390.3"
"Solyc08g014430.3",20.985352197458,3.5185702566684,0.662514866737859,5.31093026484583,1.09067061626623e-07,2.40460019362117e-05,"Solyc08g014430.3"
"Solyc03g063110.3",2145.53503925068,0.333205343143194,0.0628383091373821,5.30258289437282,1.14175592894648e-07,2.48726092187995e-05,"Solyc03g063110.3"
"Solyc03g025890.2",2417.66465973098,0.260779503871915,0.0494429237797015,5.27435442600133,1.33224219328095e-07,2.86808234057037e-05,"Solyc03g025890.2"
"Solyc04g009850.4",12.4388114273388,3.86949088040637,0.736127205332213,5.25655192795119,1.46781345097525e-07,3.12319980690652e-05,"Solyc04g009850.4"
"Solyc02g086970.4",277.47623869778,0.806653592044538,0.153752700454627,5.24643527989666,1.55070287586103e-07,3.26164504889436e-05,"Solyc02g086970.4"
"Solyc08g075280.5",386.743066784008,0.680381846181854,0.129834539408054,5.24037632269406,1.60249459791846e-07,3.33227825537613e-05,"Solyc08g075280.5"
"Solyc10g076790.2",4758.48762044862,-0.45019750591986,0.0860384974735857,-5.23251241176165,1.67221420786509e-07,3.43818514491273e-05,"Solyc10g076790.2"
"Solyc09g090730.2",178.165140104174,0.852816841662699,0.16315421653721,5.22705977058336,1.72226837555392e-07,3.50175433380679e-05,"Solyc09g090730.2"
"Solyc11g073080.3",173.816731706634,-0.959277625468273,0.183835027556526,-5.21814388812987,1.80725047369713e-07,3.63416224375645e-05,"Solyc11g073080.3"
"Solyc05g007510.4",4019.00261409202,0.409002185293467,0.0784815444203071,5.21144414670359,1.87376257451506e-07,3.72695449467946e-05,"Solyc05g007510.4"
"Solyc09g075140.3",798.592596177066,0.525136943827326,0.100844815953756,5.20737668923047,1.91529032829881e-07,3.76859115242365e-05,"Solyc09g075140.3"
"Solyc02g084780.5",336.608118695187,1.04667063115123,0.202390599249321,5.17153778403443,2.32175312316628e-07,4.51976174476807e-05,"Solyc02g084780.5"
"Solyc08g082630.3",758.782913236013,0.899026512814324,0.175974983281821,5.10883135800358,3.24157515766432e-07,6.24395619053677e-05,"Solyc08g082630.3"
"Solyc10g008410.1",172.318244804584,1.40343173687619,0.277636028145017,5.05493377877865,4.30540131020227e-07,8.20672276826994e-05,"Solyc10g008410.1"
"Solyc06g054490.3",381.19840342042,0.584775356382467,0.116081330343116,5.0376348604377,4.71319467374475e-07,8.89141745720156e-05,"Solyc06g054490.3"
"Solyc08g068710.1",34.1995892254435,-2.06654823260736,0.411450373652174,-5.02259413271148,5.09781978960804e-07,9.51887799286098e-05,"Solyc08g068710.1"
"Solyc02g021640.3",5001.00327572122,-0.273504204092013,0.0545387154657742,-5.01486332701859,5.3071176872215e-07,9.80959056146123e-05,"Solyc02g021640.3"
"Solyc01g104400.3",1299.1659981222,0.729498789301281,0.145730451161972,5.0058088991331,5.56279254665249e-07,0.000101793540811194,"Solyc01g104400.3"
"Solyc07g017780.4",441.789174718708,-0.933834518895592,0.186909228786032,-4.99619267042516,5.84732421040542e-07,0.000105940777946741,"Solyc07g017780.4"
"Solyc10g081460.2",2416.49776857565,0.335467397521353,0.06731545453783,4.98351232751205,6.24403336945174e-07,0.000110931618085046,"Solyc10g081460.2"
"Solyc11g007730.2",300.046533575539,-0.926112561309342,0.185786805758239,-4.98481341303901,6.20216355460032e-07,0.000110931618085046,"Solyc11g007730.2"
"Solyc07g043420.3",28607.7978173667,0.510899486883342,0.102834611671844,4.96816663745156,6.75888707272739e-07,0.000118923917830614,"Solyc07g043420.3"
"Solyc10g044900.3",2132.65544389117,0.283904959275268,0.0576960485912303,4.92070022484037,8.62351282575191e-07,0.000150287296379461,"Solyc10g044900.3"
"Solyc12g009050.3",297.477956890343,1.04301011070369,0.212267473145256,4.91365961656285,8.93918919937497e-07,0.000154319078452229,"Solyc12g009050.3"
"Solyc05g006620.3",285.972575478948,0.573553925871155,0.117299237370898,4.88966457691098,1.01007943709257e-06,0.000172742463732307,"Solyc05g006620.3"
"Solyc06g076820.1",194.757681744312,0.637856125117482,0.130597076792278,4.88415315858889,1.03874312304008e-06,0.000175999633412134,"Solyc06g076820.1"
"Solyc01g105800.4",240.377192460014,0.812516972290298,0.168026098977825,4.83565932455249,1.32705032334414e-06,0.000222786182264904,"Solyc01g105800.4"
"Solyc04g054800.3",1137.09801436472,0.608460978336902,0.125930477405833,4.83172136619501,1.35357604482595e-06,0.000225173527675182,"Solyc04g054800.3"
"Solyc08g014480.4",2806.49096916533,0.247671467323586,0.0512994174375817,4.82795867272642,1.37939709657831e-06,0.0002274016889215,"Solyc08g014480.4"
"Solyc12g056980.1",9.75668812886379,4.804449754459,0.996657744424176,4.82056130235038,1.43154856600638e-06,0.000233892028654917,"Solyc12g056980.1"
"Solyc12g006100.2",238.548126125964,0.632742295296781,0.13146057953253,4.81317135179834,1.48553809728077e-06,0.000240565147275583,"Solyc12g006100.2"
"Solyc09g091660.3",194.98061276687,0.823413632144629,0.171429635157865,4.80321638313217,1.56136993239511e-06,0.00025062726660437,"Solyc09g091660.3"
"Solyc06g061027.1",11121.7203762687,0.256845280982484,0.0536208899858278,4.79002271410208,1.66762434836123e-06,0.000265355286527498,"Solyc06g061027.1"
"Solyc12g049400.2",122.858085445736,0.888683744395195,0.185619511711045,4.78766340996854,1.68734333721551e-06,0.000266178411445747,"Solyc12g049400.2"
"Solyc12g011455.1",922.144493217883,-0.471535136343709,0.0989578241494305,-4.76501115901327,1.88843198074132e-06,0.000295353989876798,"Solyc12g011455.1"
"Solyc02g070340.3",7139.39300455601,-0.238747652142613,0.0501597449994761,-4.75974612999142,1.93836616019709e-06,0.00029965154012546,"Solyc02g070340.3"
"Solyc03g031940.5",748.628958927718,0.412604917896315,0.0867058054947107,4.75867694835596,1.94866021503523e-06,0.00029965154012546,"Solyc03g031940.5"
"Solyc01g009630.3",2209.21117495756,-0.257246684293248,0.0540940024602219,-4.75554909220139,1.97907758160669e-06,0.00030179283888184,"Solyc01g009630.3"
"Solyc03g082960.2",363.383146675078,0.556415102422402,0.117048009031169,4.75373401929658,1.9969371542013e-06,0.000301999611444046,"Solyc03g082960.2"
"Solyc01g080540.3",1088.31349888638,0.318390802560631,0.0671748123804027,4.7397348988133,2.13998018624823e-06,0.000313920676174846,"Solyc01g080540.3"
"Solyc06g053320.4",1476.89453117081,-0.389488179264469,0.0821013484063767,-4.7439924778899,2.09546632985664e-06,0.000313920676174846,"Solyc06g053320.4"
"Solyc06g054230.4",14.048580180591,2.91131877547361,0.614474076038209,4.73790333718257,2.15940765230512e-06,0.000313920676174846,"Solyc06g054230.4"
"Solyc07g062250.3",1976.12141651509,0.311114386822647,0.0656677642962554,4.73770334892287,2.16153916596703e-06,0.000313920676174846,"Solyc07g062250.3"
"Solyc08g078960.4",282.970724158605,0.69263231853853,0.146187992390843,4.73795629320043,2.15884357491527e-06,0.000313920676174846,"Solyc08g078960.4"
"Solyc01g091320.3",1437.13449919137,0.469033990419308,0.0995492707505981,4.71157635694173,2.45807962161544e-06,0.000354176370046778,"Solyc01g091320.3"
"Solyc01g081480.3",58.4851314960418,1.65953436213267,0.352385867158877,4.70942372210532,2.4841815861841e-06,0.000355140928481117,"Solyc01g081480.3"
"Solyc12g009410.2",3589.5907261633,0.277600448224804,0.0591623273933245,4.69218268543179,2.70305586761961e-06,0.000383435808694351,"Solyc12g009410.2"
"Solyc04g075000.1",568.852322592009,0.683107158917293,0.145734841587948,4.68732906609057,2.76793716508254e-06,0.000389619093721888,"Solyc04g075000.1"
"Solyc10g054910.1",1033.1222338451,0.487380917165682,0.104097066673935,4.68198511964138,2.84110109256442e-06,0.00039686495338043,"Solyc10g054910.1"
"Solyc07g066470.3",2072.30363010164,-0.321814326130217,0.0688954275223423,-4.67105492633535,2.99656790985774e-06,0.000415410577140052,"Solyc07g066470.3"
"Solyc05g006200.4",1018.91418296426,-0.314989478898843,0.0675341958397345,-4.66414791769114,3.09898418615038e-06,0.00042006156757308,"Solyc05g006200.4"
"Solyc10g076480.2",7.58869609936865,5.78030237996718,1.23901938681069,4.66522351586928,3.08281753192914e-06,0.00042006156757308,"Solyc10g076480.2"
"Solyc12g096780.2",1984.78482128847,0.630030801008639,0.135056485249231,4.66494296698149,3.08702647333069e-06,0.00042006156757308,"Solyc12g096780.2"
"Solyc08g079430.3",10.2674527791291,3.57731982708257,0.767572444530509,4.66056312022856,3.15345433332129e-06,0.000424301917981222,"Solyc08g079430.3"
"Solyc06g069150.1",515.187970602317,-0.6133613963377,0.131754267489286,-4.65534367900134,3.23440728261879e-06,0.000428887093222038,"Solyc06g069150.1"
"Solyc12g006270.2",295.125226523265,0.589457085599701,0.126600118127696,4.65605478349666,3.22326200267834e-06,0.000428887093222038,"Solyc12g006270.2"
"Solyc10g081030.3",9791.60587012703,-0.267123936727794,0.0575213901584072,-4.64390613634625,3.41882932866833e-06,0.000450080272556128,"Solyc10g081030.3"
"Solyc12g008760.3",2648.36504800297,-0.418124659376111,0.0901776590493317,-4.63667679760212,3.5405536759103e-06,0.00046277565511059,"Solyc12g008760.3"
"Solyc01g100360.4",2983.81826437067,0.251571149245756,0.0543239014381417,4.630947752017,3.63995724861902e-06,0.000471808742559262,"Solyc01g100360.4"
"Solyc08g081150.4",5754.66226060469,-0.239838856511406,0.0518039441493359,-4.62974123784898,3.66122965426609e-06,0.000471808742559262,"Solyc08g081150.4"
"Solyc02g081360.4",174.370485572155,-1.24976704883217,0.270266606698355,-4.62420076271958,3.76045517538882e-06,0.000481206778003077,"Solyc02g081360.4"
"Solyc06g069430.3",706.526184485431,0.451387245934398,0.097811497397783,4.61486898721815,3.93343363447362e-06,0.000499846542203005,"Solyc06g069430.3"
"Solyc04g005540.3",961.426986752541,0.462053792950173,0.100646097301275,4.59087640097021,4.41388676314338e-06,0.000557032509508694,"Solyc04g005540.3"
"Solyc04g072037.1",1617.57568994566,-0.330886487192646,0.0722414137902378,-4.5802880900617,4.64335879159942e-06,0.000581978236489573,"Solyc04g072037.1"
"Solyc03g007050.3",17463.1692019432,-0.442184790278817,0.0966041011176576,-4.57728797393667,4.71042818247466e-06,0.000586368199395264,"Solyc03g007050.3"
"Solyc02g014770.3",1892.88329889263,-0.256774922408119,0.0561589265046513,-4.57229043341582,4.82421625557423e-06,0.000592472035307066,"Solyc02g014770.3"
"Solyc08g006420.3",2255.78230662334,0.264925194392107,0.0579345924919971,4.57283262031579,4.81174513661708e-06,0.000592472035307066,"Solyc08g006420.3"
"Solyc08g006600.5",565.375483873658,0.398146589791783,0.0872375162158854,4.56393770779186,5.02029802954896e-06,0.000612442890951442,"Solyc08g006600.5"
"Solyc01g067360.3",353.773778048637,0.477529352965339,0.104974495834691,4.54900353812923,5.39005369420267e-06,0.000653195977153739,"Solyc01g067360.3"
"Solyc06g053620.5",458.0511006352,0.571720312685785,0.125732636777024,4.54711145284959,5.43872006209915e-06,0.000654757489581266,"Solyc06g053620.5"
"Solyc06g048410.4",382.327197840039,-0.711865694258323,0.156697241684194,-4.54293698221573,5.54758396068771e-06,0.00066349829344199,"Solyc06g048410.4"
